time,x,y,Q,dist,pan,tilt
1770613951.1589,12.61352,22.48727,191.5829,16,25,90
1770613951.1589134,12.61352,22.48727,191.5829,10,45,90
1770613951.1589274,12.61352,22.48727,191.5829,13,65,90
1770613951.158942,12.61352,22.48727,191.5829,13,85,90
1770613951.158956,12.61352,22.48727,191.5829,20,105,90
1770613951.1589699,12.61352,22.48727,191.5829,18,125,90
1770613951.158987,12.61352,22.48727,191.5829,18,145,90
1770613951.159001,12.61352,22.48727,191.5829,20,25,120
1770613951.159015,12.61352,22.48727,191.5829,16,45,120
1770613951.1590292,12.61352,22.48727,191.5829,19,65,120
1770613951.1590436,12.61352,22.48727,191.5829,22,85,120
1770613951.1590571,12.61352,22.48727,191.5829,20,105,120
1770613951.1590717,12.61352,22.48727,191.5829,18,125,120
1770613951.1590855,12.61352,22.48727,191.5829,19,145,120
1770613959.7534347,17.13801,23.39934,371.4673,93,25,60
1770613959.7534702,17.13801,23.39934,371.4673,52,45,60
1770613959.753486,17.13801,23.39934,371.4673,89,65,60
1770613959.7535002,17.13801,23.39934,371.4673,61,85,60
1770613959.7535143,17.13801,23.39934,371.4673,97,105,60
1770613959.753528,17.13801,23.39934,371.4673,98,125,60
1770613959.753542,17.13801,23.39934,371.4673,76,145,60
1770613959.7535558,17.13801,23.39934,371.4673,44,25,90
1770613959.7535694,17.13801,23.39934,371.4673,40,45,90
1770613959.7535834,17.13801,23.39934,371.4673,43,65,90
1770613959.7535973,17.13801,23.39934,371.4673,37,85,90
1770613959.7536118,17.13801,23.39934,371.4673,30,105,90
1770613959.7536259,17.13801,23.39934,371.4673,30,125,90
1770613959.7536397,17.13801,23.39934,371.4673,40,145,90
1770613959.7536538,17.13801,23.39934,371.4673,46,25,120
1770613959.7536674,17.13801,23.39934,371.4673,51,45,120
1770613959.753681,17.13801,23.39934,371.4673,46,65,120
1770613959.753695,17.13801,23.39934,371.4673,37,85,120
1770613959.7537086,17.13801,23.39934,371.4673,30,105,120
1770613959.7537258,17.13801,23.39934,371.4673,16,125,120
1770613959.7537398,17.13801,23.39934,371.4673,17,145,120
1770613985.9640563,-0.220577,20.08462,551.3856,36,25,60
1770613985.9640982,-0.220577,20.08462,551.3856,16,45,60
1770613985.9641142,-0.220577,20.08462,551.3856,19,65,60
1770613985.9641292,-0.220577,20.08462,551.3856,26,85,60
1770613985.9641438,-0.220577,20.08462,551.3856,30,105,60
1770613985.964159,-0.220577,20.08462,551.3856,18,125,60
1770613985.9641736,-0.220577,20.08462,551.3856,18,145,60
1770613985.964188,-0.220577,20.08462,551.3856,16,25,90
1770613985.9642022,-0.220577,20.08462,551.3856,17,45,90
1770613985.9642165,-0.220577,20.08462,551.3856,9,65,90
1770613985.964231,-0.220577,20.08462,551.3856,16,85,90
1770613985.9642444,-0.220577,20.08462,551.3856,24,105,90
1770613985.964259,-0.220577,20.08462,551.3856,17,125,90
1770613985.9642727,-0.220577,20.08462,551.3856,16,145,90
1770613985.9642868,-0.220577,20.08462,551.3856,10,25,120
1770613985.964301,-0.220577,20.08462,551.3856,16,45,120
1770613985.9643152,-0.220577,20.08462,551.3856,10,65,120
1770613985.9643292,-0.220577,20.08462,551.3856,10,85,120
1770613985.964343,-0.220577,20.08462,551.3856,9,105,120
1770613985.9643576,-0.220577,20.08462,551.3856,9,125,120
1770613985.9643717,-0.220577,20.08462,551.3856,16,145,120
1770613996.4298487,28.20068,25.55276,731.0283,75,25,60
1770613996.4298842,28.20068,25.55276,731.0283,46,45,60
1770613996.429903,28.20068,25.55276,731.0283,84,65,60
1770613996.4299183,28.20068,25.55276,731.0283,77,85,60
1770613996.4299328,28.20068,25.55276,731.0283,83,105,60
1770613996.429947,28.20068,25.55276,731.0283,68,125,60
1770613996.429961,28.20068,25.55276,731.0283,51,145,60
1770613996.4299748,28.20068,25.55276,731.0283,13,25,90
1770613996.429989,28.20068,25.55276,731.0283,16,45,90
1770613996.4300032,28.20068,25.55276,731.0283,11,65,90
1770613996.430017,28.20068,25.55276,731.0283,19,85,90
1770613996.430031,28.20068,25.55276,731.0283,14,105,90
1770613996.4300447,28.20068,25.55276,731.0283,26,125,90
1770613996.4300585,28.20068,25.55276,731.0283,18,145,90
1770613996.4300728,28.20068,25.55276,731.0283,17,25,120
1770613996.430087,28.20068,25.55276,731.0283,16,45,120
1770613996.4301004,28.20068,25.55276,731.0283,17,65,120
1770613996.430115,28.20068,25.55276,731.0283,18,85,120
1770613996.4301286,28.20068,25.55276,731.0283,21,105,120
1770613996.4301429,28.20068,25.55276,731.0283,20,125,120
1770613996.4301565,28.20068,25.55276,731.0283,20,145,120
1770614004.6415508,28.20068,25.55276,909.8007,52,25,60
1770614004.6415837,28.20068,25.55276,909.8007,40,45,60
1770614004.6415994,28.20068,25.55276,909.8007,54,65,60
1770614004.6416137,28.20068,25.55276,909.8007,58,85,60
1770614004.6416276,28.20068,25.55276,909.8007,95,105,60
1770614004.6416426,28.20068,25.55276,909.8007,107,125,60
1770614004.641657,28.20068,25.55276,909.8007,50,145,60
1770614004.6416712,28.20068,25.55276,909.8007,50,25,90
1770614004.6416855,28.20068,25.55276,909.8007,37,45,90
1770614004.6416998,28.20068,25.55276,909.8007,51,65,90
1770614004.6417136,28.20068,25.55276,909.8007,49,85,90
1770614004.6417277,28.20068,25.55276,909.8007,45,105,90
1770614004.6417418,28.20068,25.55276,909.8007,44,125,90
1770614004.6417556,28.20068,25.55276,909.8007,44,145,90
1770614004.6417706,28.20068,25.55276,909.8007,44,25,120
1770614004.6417844,28.20068,25.55276,909.8007,39,45,120
1770614004.6417983,28.20068,25.55276,909.8007,51,65,120
1770614004.6418123,28.20068,25.55276,909.8007,46,85,120
1770614004.6418262,28.20068,25.55276,909.8007,46,105,120
1770614004.6418402,28.20068,25.55276,909.8007,51,125,120
1770614004.641854,28.20068,25.55276,909.8007,48,145,120
1770614015.5708048,14.66492,80.82269,823.9164,200,25,60
1770614015.5708344,14.66492,80.82269,823.9164,200,45,60
1770614015.5708501,14.66492,80.82269,823.9164,164,65,60
1770614015.5708644,14.66492,80.82269,823.9164,200,85,60
1770614015.570879,14.66492,80.82269,823.9164,200,105,60
1770614015.5708923,14.66492,80.82269,823.9164,153,125,60
1770614015.5709138,14.66492,80.82269,823.9164,23,145,60
1770614015.5709283,14.66492,80.82269,823.9164,2,25,90
1770614015.5709426,14.66492,80.82269,823.9164,2,45,90
1770614015.5709565,14.66492,80.82269,823.9164,2,65,90
1770614015.5709703,14.66492,80.82269,823.9164,200,85,90
1770614015.5709841,14.66492,80.82269,823.9164,200,105,90
1770614015.5709982,14.66492,80.82269,823.9164,2,125,90
1770614015.571012,14.66492,80.82269,823.9164,58,145,90
1770614015.571026,14.66492,80.82269,823.9164,6,25,120
1770614015.5710397,14.66492,80.82269,823.9164,3,45,120
1770614015.5710537,14.66492,80.82269,823.9164,2,65,120
1770614015.5710678,14.66492,80.82269,823.9164,200,85,120
1770614015.5710819,14.66492,80.82269,823.9164,6,105,120
1770614015.5710964,14.66492,80.82269,823.9164,2,125,120
1770614015.5711098,14.66492,80.82269,823.9164,43,145,120
1770614021.9013484,-4.493773,159.0526,823.9164,200,25,60
1770614021.90138,-4.493773,159.0526,823.9164,129,45,60
1770614021.9013965,-4.493773,159.0526,823.9164,99,65,60
1770614021.9014122,-4.493773,159.0526,823.9164,200,85,60
1770614021.9014273,-4.493773,159.0526,823.9164,118,105,60
1770614021.9014497,-4.493773,159.0526,823.9164,200,125,60
1770614021.9014697,-4.493773,159.0526,823.9164,200,145,60
1770614021.901485,-4.493773,159.0526,823.9164,103,25,90
1770614021.9014995,-4.493773,159.0526,823.9164,5,45,90
1770614021.901514,-4.493773,159.0526,823.9164,84,65,90
1770614021.901528,-4.493773,159.0526,823.9164,200,85,90
1770614021.9015663,-4.493773,159.0526,823.9164,200,105,90
1770614021.9015877,-4.493773,159.0526,823.9164,2,125,90
1770614021.901602,-4.493773,159.0526,823.9164,58,145,90
1770614021.9016159,-4.493773,159.0526,823.9164,4,25,120
1770614021.9016294,-4.493773,159.0526,823.9164,3,45,120
1770614021.9016435,-4.493773,159.0526,823.9164,2,65,120
1770614021.9016578,-4.493773,159.0526,823.9164,3,85,120
1770614021.9016716,-4.493773,159.0526,823.9164,200,105,120
1770614021.9016862,-4.493773,159.0526,823.9164,200,125,120
1770614021.9017,-4.493773,159.0526,823.9164,2,145,120
1770614030.675331,-2.109703,149.0303,1003.57,53,25,60
1770614030.6753597,-2.109703,149.0303,1003.57,37,45,60
1770614030.6753764,-2.109703,149.0303,1003.57,46,65,60
1770614030.675391,-2.109703,149.0303,1003.57,62,85,60
1770614030.675405,-2.109703,149.0303,1003.57,23,105,60
1770614030.6754193,-2.109703,149.0303,1003.57,22,125,60
1770614030.6754332,-2.109703,149.0303,1003.57,17,145,60
1770614030.675447,-2.109703,149.0303,1003.57,24,25,90
1770614030.6754606,-2.109703,149.0303,1003.57,35,45,90
1770614030.675475,-2.109703,149.0303,1003.57,41,65,90
1770614030.6754913,-2.109703,149.0303,1003.57,23,85,90
1770614030.6755078,-2.109703,149.0303,1003.57,21,105,90
1770614030.6755219,-2.109703,149.0303,1003.57,16,125,90
1770614030.6755364,-2.109703,149.0303,1003.57,23,145,90
1770614030.6755505,-2.109703,149.0303,1003.57,25,25,120
1770614030.6755645,-2.109703,149.0303,1003.57,45,45,120
1770614030.6755784,-2.109703,149.0303,1003.57,44,65,120
1770614030.6755896,-2.109703,149.0303,1003.57,23,85,120
1770614030.675609,-2.109703,149.0303,1003.57,22,105,120
1770614030.6756265,-2.109703,149.0303,1003.57,16,125,120
1770614030.675641,-2.109703,149.0303,1003.57,12,145,120
1770614035.7348921,10.86401,94.49035,1003.57,58,25,60
1770614035.7349207,10.86401,94.49035,1003.57,37,45,60
1770614035.734936,10.86401,94.49035,1003.57,51,65,60
1770614035.7349524,10.86401,94.49035,1003.57,59,85,60
1770614035.734971,10.86401,94.49035,1003.57,22,105,60
1770614035.7349842,10.86401,94.49035,1003.57,20,125,60
1770614035.7349946,10.86401,94.49035,1003.57,19,145,60
1770614035.735012,10.86401,94.49035,1003.57,53,25,90
1770614035.7350278,10.86401,94.49035,1003.57,35,45,90
1770614035.735042,10.86401,94.49035,1003.57,37,65,90
1770614035.7350557,10.86401,94.49035,1003.57,20,85,90
1770614035.7350695,10.86401,94.49035,1003.57,19,105,90
1770614035.735083,10.86401,94.49035,1003.57,19,125,90
1770614035.7350962,10.86401,94.49035,1003.57,21,145,90
1770614035.7351098,10.86401,94.49035,1003.57,30,25,120
1770614035.7351236,10.86401,94.49035,1003.57,39,45,120
1770614035.7351372,10.86401,94.49035,1003.57,51,65,120
1770614035.735151,10.86401,94.49035,1003.57,24,85,120
1770614035.7351649,10.86401,94.49035,1003.57,19,105,120
1770614035.7351782,10.86401,94.49035,1003.57,17,125,120
1770614035.7351918,10.86401,94.49035,1003.57,16,145,120
1770614043.930371,10.86401,94.49035,1180.844,61,25,60
1770614043.9304073,10.86401,94.49035,1180.844,108,45,60
1770614043.9304223,10.86401,94.49035,1180.844,90,65,60
